ds,yhat,yhat_lower,yhat_upper
2023-10-13,21953.763413040047,19453.42078745467,24328.595927596
2023-10-14,21891.879513685137,19533.827164785078,24258.568741697207
2023-10-15,21929.886188948585,19390.24407609536,24307.45645528401
2023-10-16,21898.97613378926,19417.457932126756,24307.361208163864
2023-10-17,21712.778267967733,19168.15699068943,24051.185827447873
2023-10-18,21582.31949173604,19081.700476727736,24109.334548113762
2023-10-19,21625.227505991716,19204.854404793623,24110.139156124846
2023-10-20,21465.608232163035,18905.888424598455,23936.89367699304
2023-10-21,21412.235188934057,18704.51158240667,23929.78159445368
2023-10-22,21462.411437704443,19021.748871226584,23847.53945384448
2023-10-23,21446.949616263035,19027.036814719013,23813.504429309764
2023-10-24,21279.035860080086,18966.1947480758,23881.039802734555
2023-10-25,21169.20701909825,18720.90110845487,23657.48637537159
2023-10-26,21234.569658945697,18783.12639203915,23759.646482339256
2023-10-27,21098.693941727757,18604.682755251906,23499.82484949717
2023-10-28,21069.819106284074,18629.16740536103,23492.139140644595
2023-10-29,21144.73081822949,18779.6732582674,23521.91369943496
2023-10-30,21153.75539937481,18574.49996142398,23425.36586227984
2023-10-31,21009.636357005405,18531.697334585846,23597.88442029668
2023-11-01,20922.52228814392,18588.9834754714,23254.23512155344
2023-11-02,21009.194383537615,18480.003836761596,23377.80494306896
2023-11-03,20892.966437410883,18396.31084951938,23315.735578157346
2023-11-04,20881.8939728736,18528.757051074874,23309.262925459094
2023-11-05,20972.6527240018,18619.660852186582,23517.15030377445
2023-11-06,20995.53153463131,18499.163595658552,23516.688905739742
2023-11-07,20863.305221162937,18335.2853660536,23248.00312094042
2023-11-08,20786.216672041963,18394.75118948604,23335.317145258316
2023-11-09,20881.196669158675,18386.022927380858,23261.10858500067
2023-11-10,20771.754651176743,18419.47831911512,23084.386005991764
2023-11-11,20766.177385057566,18462.070937659453,23160.0274718752
2023-11-12,20861.396173488665,18573.154094221518,23207.941813319718
2023-11-13,20887.968062391577,18376.225199864046,23320.295262604915
2023-11-14,20758.937004223324,18450.307175413705,23255.079092204618
2023-11-15,20684.804649368,18147.101336847438,23197.55785349803
2023-11-16,20782.73962916044,18310.04527520334,23127.711474673877
2023-11-17,20676.45889578379,18391.358722121007,23027.605352861905
2023-11-18,20674.41838709301,18351.328240942363,23163.657026052293
2023-11-19,20773.673893424006,18317.93240117825,23154.504554974996
2023-11-20,20804.857780420884,18426.314448651137,23326.20049243838
2023-11-21,20681.672885700937,18432.105757546662,23131.75887015177
2023-11-22,20613.95713455884,18215.44355082981,23167.92262598011
2023-11-23,20718.800096501756,18388.844800359464,23259.124263385755
2023-11-24,20619.792600475765,18395.839543782306,23052.38954940329
2023-11-25,20625.22271959374,18196.53454835707,22873.61784731119
2023-11-26,20731.943565358943,18382.254770672036,23232.4339059457
2023-11-27,20770.35829416742,18257.68761645373,23351.1754627777
